Dataset,Model,MAE,RMSE,R2
FD001,LSTM,23.595739364624023,34.53511361304064,0.7322014570236206
FD001,GRU,25.09623908996582,36.33536386211355,0.7035540342330933
FD001,TRF,26.67057228088379,38.75138291383128,0.6628207564353943
FD002,LSTM,29.25555992126465,42.30124711887937,0.6110113859176636
FD002,GRU,28.341501235961914,39.67989900145444,0.6577277183532715
FD002,TRF,30.32529067993164,42.031026370222925,0.6159652471542358
FD003,LSTM,33.075984954833984,48.09781852105535,0.7538841366767883
FD003,GRU,34.28499984741211,49.77930051502959,0.736375093460083
FD003,TRF,35.92531204223633,52.49168926036054,0.7068634629249573
FD004,LSTM,39.40078353881836,55.80995847376837,0.595482349395752
FD004,GRU,38.96167755126953,54.92830021093407,0.6081621050834656
FD004,TRF,40.80084991455078,56.79822685805209,0.5810292959213257
